year,field,foreign_female_by_field
2014,Psychology,3517
2014,Spatial Planning,547
2014,Administration of Justice,
2014,Law,6732
2014,Renewable Energy,49
2014,Religious Studies,142
2014,Restoration Studies,56
2014,Rhythmics,10
2014,"Romance Studies (Rom. Phil., indiv. lang. n.e.c.)",1075
2014,Russian,288
2014,General Studies (including School Garden),
2014,Drama Studies,25
2014,Naval Architecture/Ship Technology,27
2014,School Pedagogy,35
2014,Sinology/Korean Studies,481
2014,Slavic Studies (Slavic Philology),693
2014,Special Needs Education,176
2014,Other subjects,699
2014,Other regional studies,95
2014,Sorabistics,2
2014,Social Work,1697
2014,Social Studies,96
2014,Social Pedagogy,174
2014,Social Security Administration,2
2014,Applied Social Science,922
2014,Social Sciences,1381
2014,Sociology,1344
2014,Spanish,745
2014,Sports Management/Sports Economics,75
2014,Sports Education/Sports Psychology,148
2014,Sports Science,240
2014,Speech Therapy/Logopedics (cl.w. SF190 since 2016),25
2014,Steel Construction,1
2014,"South Slavic (Bulgar., Serbo-Croat., Slovene etc.)",11
2014,Dance Education,128
2014,Technical Cybernetics,12
2014,Technomathematics,51
2014,Textile Design,423
2014,Textile and Clothing Technology/Industry,309
2014,Theatre Studies,276
2014,Veterinary Medicine,404
2014,Animal Production,16
2014,Sound Engineering,14
2014,Tourism Management,727
2014,Transport and Conveying Technology,1
2014,Czech,7
2014,Turkish Studies,135
2014,Environmental Protection,243
2014,Environmental Technology (including Recycling),500
2014,Prehistory and Early History,46
2014,Process Engineering,700
2014,Ed.of P.w.Behav.Disorders (cl.w. SF190 since 2016),17
2014,Transport Engineering,187
2014,Transport Economics,124
2014,Surveying (Geodesy),306
2014,Supply Technology,79
2014,Administrative Science/Public Administration,365
2014,Folklore,144
2014,Economics,2172
2014,Hydraulic Engineering,81
2014,Water Management,191
2014,Viticulture and Oenology,44
2014,Handicrafts (technical)/Technology,17
2014,Handicrafts Education,1
2014,Materials Technology,509
2014,Western Slavic (general and n.e.c.),29
2014,Economic/Social Geography,15
2014,Economic/Social History,14
2014,Business Informatics,2387
2014,Business Engineering spec. in Engineering Sciences,2332
2014,Business Engineering specialising in Economics,1416
2014,Business Mathematics,658
2014,Business and Economics Education,253
2014,Business Law,958
2014,Business and Economics,5800
2014,History of Science/History of Technology,9
2014,Dentistry,1118
2014,Customs and Tax Administration,1
2015,Waste Management,
2015,African Studies,231
2015,Agricultural Biology,115
2015,Agricultural Economics,198
2015,Agricultural Science/Agriculture,974
2015,Egyptology,53
2015,General Linguistics/Indo-European Studies,981
2015,General Literary Studies,499
2015,Ancient History,20
2015,American Studies,517
2015,Applied Art,346
2015,Applied Linguistics,832
2015,Applied Systems Science,139
2015,English Studies,3583
2015,Anthropology (Human Biology),90
2015,Arabic/Arabic Studies,57
2015,Work Studies/Business Studies,64
2015,Occupational Guidance and Career Counselling,3
2015,Labour Administration,10
2015,Archaeology,279
2015,Archaeometry (Archaeological Engineering),1
2015,Architecture,4194
2015,Archive and Documentation Science,30
2015,Archive Studies,13
2015,Asian Languages and Cultures/Asian Studies,333
2015,Astrophysics and Astronomy,67
2015,Ophthalmic Optics,24
2015,Immigrant Education,44
2015,Non-Europ. Lang. and Cult. in Oceania and America,78
2015,Foreign Affairs Administration,
2015,Baltic Studies,1
2015,Banking,5
2015,Civil Engineering/Structural Engineering,2607
2015,Mining/Mine Engineering,110
2015,Occupation-specific Foreign Language Training,267
2015,"Vocational, Business and Economics Education",58
2015,Business Administration,13616
2015,Librarianship,
2015,Fine Arts/Graphics,702
2015,Sculpting/Statuary Art,100
2015,Biochemistry,564
2015,Bioinformatics,171
2015,Biology,3660
2015,Biomedicine,275
2015,Biotechnology,708
2015,Brewing Science/Beverage Technology,34
2015,Armed Forces Administration,
2015,Byzantine Studies,7
2015,Caritas Science,12
2015,Chemistry,2856
2015,Chemical Engineering/Chemical Process Technology,754
2015,Computer Linguistics,287
2015,Computer and Communication Technology,356
2015,Danish,
2015,Performing Arts/Stagecraft/Directing,268
2015,German as a Foreign or Second Language,1298
2015,Pastoral Care Studies,11
2015,Conducting,68
2015,Printing and Reproduction Technology,125
2015,Gemstone and Jewellery Design,35
2015,Electrical Power Engineering,138
2015,Electrical Engineering/Electronics,3102
2015,Energy Process Engineering,331
2015,Nutritional Science,231
2015,Adult Education and Extracurricular Youth Educat.,128
2015,Educational Science (Pedagogy),3813
2015,Ethics,61
2015,Ethnology,367
2015,European Ethnology and Cultural Studies,406
2015,European Economic Studies,242
2015,"Protestant Religious Pedagogy, Church Educat. Work",6
2015,"Protestant Theology, Protes. Religious Education",276
2015,Facility Management,62
2015,Automotive Technology,272
2015,Precision Engineering,11
2015,Manufacturing Technology/Production Engineering,237
2015,Film and Television Studies,225
2015,Financial Administration,2
2015,Finno-Ugrian Studies,12
2015,"Forest Science, Forestry",351
2015,French,593
2015,Horticulture,77
2015,Geography,549
2015,Geology/Palaeontology,81
2015,Geoecology,39
2015,Geophysics,64
2015,Geosciences general,576
2015,German Studies/German,6843
2015,Singing,348
2015,History,1515
2015,Health Education,57
2015,Health Technology,797
2015,Health Science/Health Management,1476
2015,Glass Technology/Ceramics,8
2015,Graphic Design/Communication Design,1548
2015,Greek,73
2015,Primary School Education/Primary Level Education,96
2015,Domestic and Nutritional Sciences,416
2015,Domestic Science,6
2015,Wood and Fibre Technology,24
2015,Timber Construction,3
2015,Wood Science,11
2015,Metallurgy and Foundry,118
2015,Indology,24
2015,Industrial Design/Product Design,337
2015,Computer Science,4231
2015,Inf./Library Scien. (not at univ. of app.adm.sci.),132
2015,Computational Engineer./Technical Computer Science,440
2015,Interior Architecture,343
2015,Internal Administration,66
2015,Instrumental Music,2434
2015,Interdisc. Studies (specialising in Engineering),794
2015,Interdisc. Studies (special. in Natural Sciences),436
2015,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",1162
2015,Interdisc. Studies (spec. in Humanities),2568
2015,"Interdisc. Studies (special. in Art, Art Theory)",116
2015,International Business Studies/Management,5713
2015,Iranian Studies,44
2015,Islamic Studies/Islamic theology,51
2015,Islamic Studies,345
2015,Italian,358
2015,Japanese Studies,283
2015,Jazz and Popular Music,65
2015,Judaic Studies/Hebrew,68
2015,Law Enforcement,
2015,Cartography,77
2015,"Catholic Religious Pedagogy, Church Educat. Work",9
2015,"Catholic Theology, Catholic Religious Education",190
2015,Caucasian Studies,2
2015,Nucl.Techn./Nucl.Process Techn.(cl.w.SF211 s.2020),
2015,Church Music,78
2015,Classical Philology,48
2015,"Communication Technology, Information Engineering",524
2015,Communication Science/Journalism,1310
2015,Composition,103
2015,Arts Education,320
2015,"Art History, Art Theory",1136
2015,Plastics Technology,42
2015,Land Management Engineering/Landscape Design,241
2015,Landscape Ecology/Biogeography (ex. SF385 s. 2012),28
2015,Latin,74
2015,Latin America Studies,67
2015,Food Chemistry,122
2015,Food Technology,199
2015,Area of study: Humanities,89
2015,Area of study: Social Studies,15
2015,Area of study: Natural Sciences/General Studies,36
2015,Area of study: Technology,31
2015,Aeronautical and Aerospace Engineering,145
2015,Painting,124
2015,Mine Surveying,2
2015,Mechanical Engineering,2984
2015,Materials Engineering,62
2015,Math.Statistics/Prob.Calc. (class.w. SF312 s.2020),181
2015,Mathematics,2355
2015,Mechatronics,383
2015,Media Informatics,643
2015,Media Technology,176
2015,Media Economics/Media Management,428
2015,Media Science,916
2015,Medicine (General Medicine),6052
2015,Medical Informatics,320
2015,Metals Technology,6
2015,Meteorology,77
2015,Microelectronics,28
2015,Microsystems Technology,225
2015,Dairy Farming,10
2015,Mineralogy,17
2015,Medieval and Modern History,51
2015,Music Education,455
2015,Musicology/History of Music,515
2015,Nature Conservation,123
2015,Nautical Science/Maritime Studies,8
2015,New Media,176
2015,Modern Greek,57
2015,Non-medical Healthcare Professions/Therapies,686
2015,Low German,
2015,Dutch,36
2015,"Nordic/Scand. St. (Nord. Phil., ind. lang. n.e.c.)",103
2015,Optoelectronics,41
2015,Orchestral Music,526
2015,"Oriental Studies, Ancient Oriental Studies",198
2015,Eastern and South Eastern Europe Studies,144
2015,Oceanography,3
2015,Early Childhood Education,91
2015,Plant Production,15
2015,Nursing Science/Nursing Management,405
2015,Pharmacy,1354
2015,Philosophy,1105
2015,Physics,1791
2015,Engineering Physics/Mechanical Process Engineering,190
2015,Political Science,2514
